 time, vibration, pressure, z_tilt
 14:46:10 2022/6/3,2,912,200
 14:46:10 2022/6/3,1,911,-1100
 14:46:11 2022/6/3,1023,909,-820
 14:46:11 2022/6/3,0,909,-968
 14:46:12 2022/6/3,1,908,-1028
 14:46:12 2022/6/3,0,907,-836
 14:46:13 2022/6/3,28,909,-684
 14:46:13 2022/6/3,0,909,-864
 14:46:14 2022/6/3,0,909,-1316
 14:46:14 2022/6/3,0,908,-1000
 14:46:15 2022/6/3,233,906,-1440
 14:46:15 2022/6/3,26,901,-636
 14:46:16 2022/6/3,0,897,-2172
 14:46:16 2022/6/3,0,898,-1412
 14:46:17 2022/6/3,0,900,-860
 14:46:17 2022/6/3,0,899,-1396
 14:46:18 2022/6/3,0,900,-1292
 14:46:18 2022/6/3,0,900,-1588
 14:46:19 2022/6/3,0,899,-1576
 14:46:19 2022/6/3,0,900,-1288
 14:46:20 2022/6/3,0,899,-1060
 14:46:20 2022/6/3,0,895,-2032
 14:46:21 2022/6/3,0,895,-536
 14:46:21 2022/6/3,0,896,-664
 14:46:22 2022/6/3,0,894,-1148
 14:46:22 2022/6/3,0,892,-1528
 14:46:23 2022/6/3,0,892,-1284
 14:46:23 2022/6/3,0,890,-1392
 14:46:24 2022/6/3,0,893,-1144
 14:46:24 2022/6/3,0,895,-1196
 14:46:25 2022/6/3,0,896,-1320
 14:46:25 2022/6/3,0,900,-732
 14:46:26 2022/6/3,0,905,-244
 14:46:26 2022/6/3,0,903,-576
 14:46:27 2022/6/3,0,898,-1048
 14:46:27 2022/6/3,0,899,-1104
 14:46:28 2022/6/3,0,901,-1304
 14:46:28 2022/6/3,0,897,-1560
 14:46:29 2022/6/3,0,895,-1280
 14:46:29 2022/6/3,1,893,-2092
 14:46:30 2022/6/3,1,893,-1848
 14:46:30 2022/6/3,1,893,-1632
 14:46:31 2022/6/3,0,894,-1764
 14:46:31 2022/6/3,1,897,-872
 14:46:32 2022/6/3,1,896,-1172
 14:46:32 2022/6/3,1,898,-1228
 14:46:33 2022/6/3,1,897,-996
 14:46:33 2022/6/3,1,896,-1272
 14:46:34 2022/6/3,0,896,-1188
 14:46:34 2022/6/3,1,896,-1180
 14:46:35 2022/6/3,1,899,-844
 14:46:35 2022/6/3,1,900,-844
 14:46:36 2022/6/3,0,904,-824
 14:46:36 2022/6/3,1,903,-432
 14:46:37 2022/6/3,1,902,-868
 14:46:37 2022/6/3,206,902,-752
 14:46:38 2022/6/3,1,901,-708
 14:46:38 2022/6/3,0,901,-644
 14:46:39 2022/6/3,1,901,-364
 14:46:39 2022/6/3,0,900,-660
 14:46:40 2022/6/3,0,901,-576
 14:46:40 2022/6/3,0,901,-1044
 14:46:41 2022/6/3,0,899,-656
 14:46:41 2022/6/3,0,898,-700
 14:46:42 2022/6/3,0,893,-568
 14:46:42 2022/6/3,1,891,-144
 14:46:43 2022/6/3,0,892,-440
 14:46:43 2022/6/3,0,891,124
 14:46:44 2022/6/3,0,892,-160
 14:46:44 2022/6/3,0,895,-116
 14:46:45 2022/6/3,98,893,248
 14:46:45 2022/6/3,1023,893,-164
 14:46:46 2022/6/3,1023,894,12
 14:46:46 2022/6/3,1023,891,-240
 14:46:47 2022/6/3,0,892,-168
 14:46:47 2022/6/3,0,891,-24
 14:46:48 2022/6/3,0,894,-72
 14:46:48 2022/6/3,0,893,-76
 14:46:49 2022/6/3,0,893,-344
 14:46:49 2022/6/3,0,894,108
 14:46:50 2022/6/3,0,895,-736
 14:46:50 2022/6/3,1,892,-136
 14:46:51 2022/6/3,0,893,-320
 14:46:51 2022/6/3,0,894,-372
 14:46:52 2022/6/3,0,895,-388
 14:46:52 2022/6/3,1,899,-304
 14:46:53 2022/6/3,0,904,-128
 14:46:53 2022/6/3,0,904,8
 14:46:54 2022/6/3,0,904,-244
 14:46:54 2022/6/3,0,904,520
 14:46:55 2022/6/3,1,906,-280
 14:46:55 2022/6/3,1,906,-176
 14:46:56 2022/6/3,0,905,-220
 14:46:56 2022/6/3,0,907,-52
 14:46:57 2022/6/3,0,906,72
 14:46:57 2022/6/3,1,905,-148
 14:46:58 2022/6/3,1,905,20
 14:46:58 2022/6/3,0,904,412
 14:46:59 2022/6/3,1,903,108
 14:46:59 2022/6/3,1,903,-292
 14:47:0 2022/6/3,1,901,24
 14:47:0 2022/6/3,1,903,12
 14:47:1 2022/6/3,1,901,36
 14:47:1 2022/6/3,1,901,72
 14:47:2 2022/6/3,1,901,52
