 time, vibration, pressure, z_tilt
 14:47:29 2022/6/3,1,916,516
 14:47:29 2022/6/3,1,911,580
 14:47:30 2022/6/3,1,910,204
 14:47:30 2022/6/3,1,910,404
 14:47:31 2022/6/3,1,907,600
 14:47:31 2022/6/3,1,907,532
 14:47:32 2022/6/3,1,908,456
 14:47:32 2022/6/3,1,907,816
 14:47:33 2022/6/3,1,906,588
 14:47:33 2022/6/3,1,905,460
 14:47:34 2022/6/3,1,905,528
 14:47:34 2022/6/3,1,902,696
 14:47:35 2022/6/3,1,903,420
 14:47:35 2022/6/3,1,902,352
 14:47:36 2022/6/3,1,901,364
 14:47:36 2022/6/3,1,902,504
 14:47:37 2022/6/3,1,904,488
 14:47:37 2022/6/3,1,904,596
 14:47:38 2022/6/3,1,902,208
 14:47:38 2022/6/3,1,902,180
 14:47:39 2022/6/3,1,896,328
 14:47:39 2022/6/3,1023,896,628
 14:47:40 2022/6/3,1023,896,176
 14:47:40 2022/6/3,1023,894,304
 14:47:41 2022/6/3,6,895,492
 14:47:41 2022/6/3,1,894,380
 14:47:42 2022/6/3,0,890,520
 14:47:42 2022/6/3,4,892,664
 14:47:43 2022/6/3,0,893,480
 14:47:43 2022/6/3,1,891,792
 14:47:44 2022/6/3,0,882,864
 14:47:44 2022/6/3,0,885,624
 14:47:45 2022/6/3,0,888,796
 14:47:45 2022/6/3,0,890,984
 14:47:46 2022/6/3,0,895,652
 14:47:46 2022/6/3,0,894,680
 14:47:47 2022/6/3,0,894,472
 14:47:47 2022/6/3,0,899,488
 14:47:48 2022/6/3,0,897,696
 14:47:48 2022/6/3,0,896,708
 14:47:49 2022/6/3,0,891,-24
 14:47:49 2022/6/3,0,893,-264
 14:47:50 2022/6/3,0,893,1260
 14:47:50 2022/6/3,0,886,476
 14:47:51 2022/6/3,0,884,-280
 14:47:51 2022/6/3,0,887,-648
 14:47:52 2022/6/3,0,888,-36
 14:47:52 2022/6/3,1,885,964
 14:47:53 2022/6/3,0,871,1388
 14:47:53 2022/6/3,1,866,1284
 14:47:54 2022/6/3,0,859,728
 14:47:54 2022/6/3,0,859,504
 14:47:55 2022/6/3,0,858,468
 14:47:55 2022/6/3,0,856,484
 14:47:56 2022/6/3,0,849,440
 14:47:56 2022/6/3,1,854,548
 14:47:57 2022/6/3,0,855,620
 14:47:57 2022/6/3,0,861,568
 14:47:58 2022/6/3,1,862,488
 14:47:58 2022/6/3,0,862,440
 14:47:59 2022/6/3,0,860,532
