 time, vibration, pressure, z_tilt
 14:46:10 2022/6/3,0,825,1032
 14:46:10 2022/6/3,1,821,1052
 14:46:11 2022/6/3,1,820,1268
 14:46:11 2022/6/3,1,815,1004
 14:46:12 2022/6/3,1,807,1344
 14:46:12 2022/6/3,1,835,1192
 14:46:13 2022/6/3,1,882,984
 14:46:13 2022/6/3,1,885,820
 14:46:14 2022/6/3,1,887,116
 14:46:14 2022/6/3,1,885,152
 14:46:15 2022/6/3,1,882,444
 14:46:15 2022/6/3,1,883,684
 14:46:16 2022/6/3,1,887,632
 14:46:16 2022/6/3,1,893,380
 14:46:17 2022/6/3,1,891,800
 14:46:17 2022/6/3,1,887,512
 14:46:18 2022/6/3,1,888,344
 14:46:18 2022/6/3,1,889,716
 14:46:19 2022/6/3,8,888,392
 14:46:19 2022/6/3,1,886,900
 14:46:20 2022/6/3,1,887,736
 14:46:20 2022/6/3,1,888,432
 14:46:21 2022/6/3,72,887,616
 14:46:21 2022/6/3,48,889,964
 14:46:22 2022/6/3,1,888,1224
 14:46:22 2022/6/3,2,887,584
 14:46:23 2022/6/3,1,888,688
 14:46:23 2022/6/3,1,887,756
 14:46:24 2022/6/3,2,881,-8
 14:46:24 2022/6/3,1,878,576
 14:46:25 2022/6/3,1,886,908
 14:46:25 2022/6/3,231,876,864
 14:46:26 2022/6/3,1,875,812
 14:46:26 2022/6/3,1,877,688
 14:46:27 2022/6/3,1,878,572
 14:46:27 2022/6/3,1,878,856
 14:46:28 2022/6/3,1,872,656
 14:46:28 2022/6/3,2,876,684
 14:46:29 2022/6/3,1,881,556
 14:46:29 2022/6/3,1,885,424
 14:46:30 2022/6/3,1,885,816
 14:46:30 2022/6/3,1,884,780
 14:46:31 2022/6/3,1,885,428
 14:46:31 2022/6/3,1,885,780
 14:46:32 2022/6/3,1,888,812
 14:46:32 2022/6/3,1,885,684
 14:46:33 2022/6/3,1,884,652
 14:46:33 2022/6/3,1,882,696
 14:46:34 2022/6/3,1,882,648
 14:46:34 2022/6/3,1,886,484
 14:46:35 2022/6/3,1,870,596
 14:46:35 2022/6/3,1,869,1036
 14:46:36 2022/6/3,1,884,772
 14:46:36 2022/6/3,1,896,836
 14:46:37 2022/6/3,1,914,1260
 14:46:37 2022/6/3,1,908,1004
 14:46:38 2022/6/3,2,0,992
 14:46:38 2022/6/3,1,0,724
 14:46:39 2022/6/3,1,0,776
 14:46:39 2022/6/3,1,0,1200
 14:46:40 2022/6/3,2,0,980
 14:46:40 2022/6/3,1,0,1740
 14:46:41 2022/6/3,2,0,1020
 14:46:41 2022/6/3,2,0,-140
 14:46:42 2022/6/3,2,0,180
 14:46:42 2022/6/3,2,0,-432
 14:46:43 2022/6/3,2,0,-2000
 14:46:43 2022/6/3,2,0,-1292
 14:46:44 2022/6/3,2,0,-860
 14:46:44 2022/6/3,2,0,-496
 14:46:45 2022/6/3,1,0,-64
 14:46:45 2022/6/3,2,0,104
 14:46:46 2022/6/3,1,0,-52
 14:46:46 2022/6/3,2,0,4
 14:46:47 2022/6/3,2,0,-24
 14:46:47 2022/6/3,1,0,128
 14:46:48 2022/6/3,2,0,48
 14:46:48 2022/6/3,2,0,-68
 14:46:49 2022/6/3,1,0,-96
 14:46:49 2022/6/3,2,0,212
 14:46:50 2022/6/3,1,0,-16
 14:46:50 2022/6/3,2,0,-44
 14:46:51 2022/6/3,1023,0,-176
 14:46:51 2022/6/3,1023,0,-92
 14:46:52 2022/6/3,1023,0,-156
 14:46:52 2022/6/3,1023,0,-704
 14:46:53 2022/6/3,1023,0,488
 14:46:53 2022/6/3,980,0,896
 14:46:54 2022/6/3,1,0,768
 14:46:54 2022/6/3,1,0,596
 14:46:55 2022/6/3,1,0,552
 14:46:55 2022/6/3,1,0,308
 14:46:56 2022/6/3,1,0,396
 14:46:56 2022/6/3,1,0,472
 14:46:57 2022/6/3,1,0,380
 14:46:57 2022/6/3,1,0,636
 14:46:58 2022/6/3,1,0,1356
 14:46:58 2022/6/3,1,0,820
 14:46:59 2022/6/3,1,0,484
 14:46:59 2022/6/3,3,0,1468
 14:47:0 2022/6/3,1,0,1744
 14:47:0 2022/6/3,1,0,1308
 14:47:1 2022/6/3,1,0,528
 14:47:1 2022/6/3,1,0,1116
 14:47:2 2022/6/3,1,0,948
 14:47:2 2022/6/3,1,0,564
